Title,SOC Code,2012,2022,Number (inthousands),Percent,"Jobopeningsdue togrowthandreplacementneeds,2012-2022(in thousands)",2012 median annual wage,Typical entry-level education,Education Code,Work experience in a related occupation,Workex Code,Typical on-the-job training,trCode
"Accountants and auditors     	 				Show/hide Example Job Titles 				* Account Auditor* Accountant* Auditor* Auditor-in-charge* Cpa* Certified Public Accountant* Cost Accountant* Field Auditor* Financial Accountant* Financial Auditor* Fund Accountant* Internal Auditor* Payroll Auditor* Tax Accountant",13-2011,"1,275.40","1,442.20",166.7,13.1,544.2,"63,550",Bachelor's degree,3,None,4,None,6
"Actors     	 				Show/hide Example Job Titles 				* Actor Understudy* Actress* Dramatic Reader* Elocutionist* Monologist* Vaudeville Actor* Voice-over Artist",27-2011,79.8,83,3.3,4.1,28.9,N/A,"Some college, no degree",6,None,4,Long-term on-the-job training,3
"Actuaries     	 				Show/hide Example Job Titles 				* Actuarial Associate* Actuarial Mathematician* Health Actuary* Insurance Actuary* Pricing Actuary* Product Development Actuary",15-2011,24.3,30.6,6.3,26.1,13.2,"93,680",Bachelor's degree,3,None,4,Long-term on-the-job training,3
"Adhesive bonding machine operators and tenders     	 				Show/hide Example Job Titles 				* Glue Line Operator* Glue Machine Operator* Glue Reel Operator* Paper Gluing Operator",51-9191,16.8,16.9,0.1,0.6,4.1,"29,830",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Administrative law judges, adjudicators, and hearing officers     	 				Show/hide Example Job Titles 				* Appeals Examiner* Appeals Referee* Appellate Conferee* Hearing Examiner* Hearing Officer* Justice Of The Peace* Traffic Court Referee",23-1021,14.9,14.7,-0.3,-1.7,2.4,"87,240",Doctoral or professional degree,1,Less than 5 years,2,Short-term on-the-job training,5
"Administrative services managers     	 				Show/hide Example Job Titles 				* Administrative Services Manager* Business Office Manager* Business Unit Manager* Facilities Manager* Records Management Director* Records And Information Manager",Nov-11,280.8,315,34.2,12.2,79.9,"81,080",Bachelor's degree,3,Less than 5 years,2,None,6
"Adult basic and secondary education and literacy teachers and instructors      	 				Show/hide Example Job Titles 				* Adult Basic Studies Teacher* Adult Education Teacher* Adult Literacy Instructor* Adult Literacy Teacher* Adult Remedial Education Instructor* Ged Instructor* General Educational Development (ged) Teacher* General Educational Development Teacher",25-3011,77.4,84.2,6.7,8.7,19.9,"48,590",Bachelor's degree,3,None,4,Internship/residency,1
"Advertising and promotions managers     	 				Show/hide Example Job Titles 				* Advertising Director* Advertising Executive* Advertising Manager* Classified Advertising Manager* Promotion Manager* Promotions Director* Vp Advertising* Vp Promotions",Nov-11,35.5,38,2.4,6.9,13.4,"88,590",Bachelor's degree,3,Less than 5 years,2,None,6
"Advertising sales agents     	 				Show/hide Example Job Titles 				* Advertising Account Executive* Advertising Agent* Advertising Solicitor* Display Advertising Sales Representative* Inside Sales Advertising Executive* Outside Sales Advertising Executive* Radio Time Salesperson* Signs And Displays Salesperson* Yellow Pages Space Salesperson",41-3011,154.6,153.6,-1,-0.7,47.5,"46,290",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Aerospace engineering and operations technicians     	 				Show/hide Example Job Titles 				* Altitude Chamber Technician* Flight Data Technician* Wind Tunnel Technician",17-3021,9.9,9.9,0,-0.4,2.1,"61,530",Associate's degree,4,None,4,None,6
"Aerospace engineers     	 				Show/hide Example Job Titles 				* Aerodynamics Engineer* Aeronautical Engineer* Aerospace Engineer* Aircraft Design Engineer* Aircraft Designer* Aircraft Engineer* Astronautical Engineer* Flight Systems Test Engineer* Flight Test Engineer* Wind Tunnel Engineer",17-2011,83,89.1,6.1,7.3,25.4,"103,720",Bachelor's degree,3,None,4,None,6
"Agents and business managers of artists, performers, and athletes     	 				Show/hide Example Job Titles 				* Artist Manager* Artist Representative* Author's Agent* Band Manager* Booking Agent* Booking Manager* Fight Manager* Literary Agent* Modeling Agent* Talent Agent* Talent Manager* Theatrical Agent",13-1011,18.3,20.1,1.8,9.7,5.8,"63,370",Bachelor's degree,3,Less than 5 years,2,None,6
"Agricultural and food science technicians     	 				Show/hide Example Job Titles 				* Agriculture Technician* Agronomy Technician* Artificial Breeding Technician* Cotton Program Technician* Dairy Lab Technician* Dairy Technician* Dairy Technologist* Feed Mill Lab Technician* Feed Research Technician* Food Quality Technician* Food Science Technician* Seed Analyst* Sugarcane Research Technician* Weed Science Research Technician",19-4011,25.9,26.7,0.8,2.9,10.1,"34,070",Associate's degree,4,None,4,Moderate-term on-the-job training,4
"Agricultural engineers     	 				Show/hide Example Job Titles 				* Agricultural Engineer* Agricultural Production Engineer* Agricultural Research Engineer* Farm Equipment Engineer* Research Agricultural Engineer",17-2021,2.6,2.7,0.1,4.8,0.8,"74,000",Bachelor's degree,3,None,4,None,6
"Agricultural equipment operators     	 				Show/hide Example Job Titles 				* Cane Flume Chute Operator* Combine Driver* Combine Operator* Corn Detasseler Machine Operator* Cotton Ginner* Cotton Picker Operator* Custom Harvester* Farm Tractor Operator* Hay Baler* Hay Stacker Operator* Rake Operator* Replanting Machine Operator* Tractor Operator* Wheat Combine Driver",45-2091,59,61.2,2.3,3.9,20.2,"25,860",Less than high school,8,None,4,Short-term on-the-job training,5
"Agricultural inspectors     	 				Show/hide Example Job Titles 				* Cattle Examiner* Cattle Inspector* Grain Sampler* Meat And Poultry Inspector* Milk Tester* Wheat Inspector",45-2011,17,16.8,-0.2,-1,5,"42,160",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
"Agricultural sciences teachers, postsecondary     	 				Show/hide Example Job Titles 				* Agricultural Soil Conservation Professor* Agronomy Professor* Animal Husbandry Professor* Animal Science Professor* Aquaculture And Fisheries Professor* Farm Management Professor* Floriculture Professor* Horticulture Instructor* Olericulture Professor",25-1041,12.8,13.9,1,8,3,"80,490",Doctoral or professional degree,1,None,4,None,6
"Agricultural workers, all other     	 				Show/hide Example Job Titles 				* Crop Scout* Irrigation Worker* Livestock Showman",45-2099,14.4,14.9,0.5,3.4,4.9,"25,140",Less than high school,8,None,4,Short-term on-the-job training,5
"Air traffic controllers     	 				Show/hide Example Job Titles 				* Air Traffic Control Operator* Air Traffic Control Specialist* Air Traffic Controller* Air Traffic Coordinator* Airport Tower Controller* Control Tower Operator* Enroute Controller",53-2021,25,25.4,0.4,1.4,11.4,"122,530",Associate's degree,4,None,4,Long-term on-the-job training,3
"Aircraft cargo handling supervisors     	 				Show/hide Example Job Titles 				* Air Cargo Ground Crew Supervisor* Air Cargo Ground Operations Supervisor* Air Cargo Supervisor* Aircraft Loadmaster* Airport Ramp Supervisor",53-1011,6.8,6.9,0,0.7,1.9,"47,930",High school diploma or equivalent,7,Less than 5 years,2,None,6
"Aircraft mechanics and service technicians     	 				Show/hide Example Job Titles 				* A&p Mechanic* Aircraft Engine Mechanic* Aircraft Engine Specialist* Airframe Mechanic* Airframe And Power Plant Mechanic* Airplane Rigger* Faa Certified Powerplant Mechanic* Flight Test Mechanic* Helicopter Mechanic* Jet Engine Mechanic* Propeller-driven Airplane Mechanic",49-3011,121.7,124.7,3,2.4,35.6,"55,210",Postsecondary non-degree award,5,None,4,None,6
"Aircraft structure, surfaces, rigging, and systems assemblers     	 				Show/hide Example Job Titles 				* Aircraft De-icer Installer* Aircraft Fuselage Framer* Aircraft Layout Worker* Aircraft Line Assembler* Aircraft Part Assembler* Aircraft Riveter* Aircraft Sheet Metal Mechanic* Helicopter Airframe Mechanic* Propeller Layout Worker* Wing Coverer",51-2011,41.5,44,2.4,5.8,9.1,"45,950",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Airfield operations specialists     	 				Show/hide Example Job Titles 				* Aviation Operations Specialist* Flight Operations Coordinator",53-2022,7.1,7.5,0.4,5.1,3.5,"48,080",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Airline pilots, copilots, and flight engineers     	 				Show/hide Example Job Titles 				* Airline Captain* Airline Pilot* Airline Pilot Flight Instructor* Airline Pilot In Command* Airline Pilot Second In Command* Airline Transport Pilot* Charter Pilot (air Transport Pilot Certificate Required)* Charter Pilot (airline)* Regional Airline Pilot",53-2011,66.4,62.1,-4.4,-6.6,19.2,"114,200",Bachelor's degree,3,Less than 5 years,2,Moderate-term on-the-job training,4
